assessment_id,pupil_id,school_urn,subject,score,grade,assessment_date,term,metadata_json
1,P001,100001,Mathematics,72.0,B,2024-10-15,Autumn 2024,"{""teacher"": ""Mr Adams"", ""moderated"": true, ""method"": ""written_exam""}"
2,P001,100001,English,85.0,A,2024-10-15,Autumn 2024,"{""teacher"": ""Ms Baker"", ""moderated"": true, ""method"": ""coursework""}"
3,P002,100001,Mathematics,58.0,C,2024-10-15,Autumn 2024,"{""teacher"": ""Mr Adams"", ""moderated"": true, ""method"": ""written_exam""}"
4,P002,100001,English,62.0,C,2024-10-15,Autumn 2024,"{""teacher"": ""Ms Baker"", ""moderated"": false, ""method"": ""coursework""}"
5,P003,100002,Mathematics,91.0,A,2024-10-16,Autumn 2024,"{""teacher"": ""Mrs Carter"", ""moderated"": true, ""method"": ""written_exam""}"
6,P003,100002,English,88.0,A,2024-10-16,Autumn 2024,"{""teacher"": ""Mr Dean"", ""moderated"": true, ""method"": ""coursework""}"
7,P004,100003,Mathematics,45.0,D,2024-10-17,Autumn 2024,"{""teacher"": ""Ms Ellis"", ""moderated"": true, ""method"": ""written_exam""}"
8,P004,100003,English,51.0,C,2024-10-17,Autumn 2024,"{""teacher"": ""Mr Ford"", ""moderated"": false}"
9,P005,100004,Maths,78.0,B,15/10/2024,Autumn 2024,"{""teacher"": ""Mrs Grant"", ""moderated"": true, ""method"": ""written_exam""}"
10,P005,100004,english,82.0,A,15/10/2024,Autumn 2024,"{""teacher"": ""Mr Hunt"", ""moderated"": true}"
11,P006,100005,MATHEMATICS,67.0,B,2024-10-18,Autumn 2024,"{""teacher"": ""Ms Irving"", ""moderated"": true, ""method"": ""written_exam""}"
12,P006,100005,Science,71.0,B,2024-10-18,Autumn 2024,"{""teacher"": ""Mr Jones"", ""moderated"": true, ""method"": ""practical""}"
13,P007,100006,Mathematics,83.0,A,2024-10-18,Autumn 2024,"{""teacher"": ""Mrs Kelly"", ""moderated"": true, ""method"": ""written_exam""}"
14,P008,100007,Mathematics,39.0,E,2024-10-19,Autumn 2024,"{""teacher"": ""Mr Lane"", ""moderated"": false, ""method"": ""written_exam""}"
15,P009,100008,Maths,76.0,B,19/10/2024,Autumn 2024,"{""teacher"": ""Ms Moore""}"
16,P010,100009,Mathematics,55.0,C,2024-10-20,Autumn 2024,"{""teacher"": ""Mr Nash"", ""moderated"": true, ""method"": ""written_exam""}"
1,P001,100001,Mathematics,72.0,B,2024-10-15,Autumn 2024,"{""teacher"": ""Mr Adams"", ""moderated"": true, ""method"": ""written_exam""}"
17,P001,100001,Mathematics,78.0,B,2025-02-10,Spring 2025,"{""teacher"": ""Mr Adams"", ""moderated"": true, ""method"": ""written_exam"", ""improvement"": true}"
18,P001,100001,English,87.0,A,2025-02-10,Spring 2025,"{""teacher"": ""Ms Baker"", ""moderated"": true, ""method"": ""coursework"", ""improvement"": true}"
19,P002,100001,math,61.0,C,10/02/2025,Spring 2025,"{""teacher"": ""Mr Adams"", ""moderated"": true, ""method"": ""written_exam""}"
20,P002,100001,English,65.0,C,2025-02-10,Spring 2025,"{""teacher"": ""Ms Baker"", ""moderated"": true, ""method"": ""coursework""}"
21,P003,100002,Mathematics,93.0,A*,2025-02-11,Spring 2025,"{""teacher"": ""Mrs Carter"", ""moderated"": true, ""method"": ""written_exam"", ""improvement"": true}"
22,P003,100002,English,90.0,A,2025-02-11,Spring 2025,"{""teacher"": ""Mr Dean"", ""moderated"": true, ""method"": ""coursework"", ""improvement"": true}"
23,P004,100003,Mathematics,48.0,D,2025-02-12,Spring 2025,"{""teacher"": ""Ms Ellis"", ""moderated"": false, ""method"": ""written_exam""}"
24,P005,100004,Mathematics,81.0,A,2025-02-12,Spring 2025,"{""teacher"": ""Mrs Grant"", ""moderated"": true, ""method"": ""written_exam"", ""improvement"": true}"
25,P006,100005,mathematics,70.0,B,2025-02-13,Spring 2025,"{""teacher"": ""Ms Irving"", ""moderated"": true, ""method"": ""written_exam""}"
26,P007,100006,Mathematics,86.0,A,2025-02-13,Spring 2025,"{""teacher"": ""Mrs Kelly"", ""moderated"": true, ""method"": ""written_exam"", ""improvement"": true}"
27,P008,100007,Mathematics,42.0,D,2025-02-14,Spring 2025,"{""teacher"": ""Mr Lane"", ""moderated"": true, ""method"": ""written_exam""}"
28,P009,100008,Maths,79.0,B,14/02/2025,Spring 2025,"{""teacher"": ""Ms Moore"", ""moderated"": true}"
29,P010,100009,Mathematics,59.0,C,2025-02-15,Spring 2025,"{""teacher"": ""Mr Nash"", ""moderated"": true, ""method"": ""written_exam""}"
30,P019,999999,Mathematics,64.0,C,2025-02-15,Spring 2025,"{""teacher"": ""Unknown"", ""moderated"": false}"
31,P011,100010,Mathematics,,,2025-02-15,Spring 2025,"{""teacher"": ""Mr Owen"", ""moderated"": false, ""notes"": ""Absent - illness""}"
24,P005,100004,Mathematics,79.0,B,2025-02-12,Spring 2025,"{""teacher"": ""Mrs Grant"", ""moderated"": false, ""method"": ""written_exam""}"
