pupil_id,attendance_date,attendance_status,date_recorded,session_json
P001,2024-09-02,Present,2024-09-02,
P001,2024-09-03,Present,2024-09-03,
P001,2024-09-04,Unauthorised,04/09/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-05,Present,2024-09-05,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-06,Present,06/09/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-09,Present,2024-09-09,
P001,2024-09-10,Present,2024-09-10,
P001,2024-09-11,present,11/09/2024,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-12,P,2024-09-12,
P001,2024-09-13,Present,2024-09-13,
P001,2024-09-16,Present,09-16-2024,
P001,2024-09-17,Present,17/09/2024,
P001,2024-09-18,Authorised Absence,18/09/2024,
P001,2024-09-19,Present,2024-09-19,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-20,Present,2024-09-20,
P001,2024-09-23,Present,2024-09-23,
P001,2024-09-24,Present,2024-09-24,
P001,2024-09-25,Present,25/09/2024,
P001,2024-09-26,Present,2024-09-26,
P001,2024-09-27,U,27/09/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-09-30,Present,2024-09-30,
P001,2024-10-01,Present,2024-10-01,
P001,2024-10-02,Present,02/10/2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-10-03,Present,2024-10-03,
P001,2024-10-04,Present,2024-10-04,
P001,2024-10-07,Present,2024-10-07,
P001,2024-10-08,P,2024-10-08,
P001,2024-10-09,Illness,2024-10-09,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-10-10,Present,2024-10-10,
P001,2024-10-11,Present,11/10/2024,
P001,2024-10-14,Present,2024-10-14,
P001,2024-10-15,Present,2024-10-15,"{""am"": ""Present"", ""pm"": ""Absent"", ""late_arrival"": false}"
P001,2024-10-16,Present,2024-10-16,
P001,2024-10-17,Unauthorised,2024-10-17,
P001,2024-10-18,present,2024-10-18,
P001,2024-10-21,Present,21/10/2024,
P001,2024-10-22,Illness,2024-10-22,
P001,2024-10-23,Illness,10-23-2024,
P001,2024-10-24,P,24/10/2024,
P001,2024-10-25,Present,25/10/2024,
P001,2024-11-04,Present,04/11/2024,
P001,2024-11-05,Present,05/11/2024,
P001,2024-11-06,Authorised Absence,06/11/2024,
P001,2024-11-07,Present,2024-11-07,"{""am"": ""Absent"", ""pm"": ""Present"", ""late_arrival"": true}"
P001,2024-11-08,Present,2024-11-08,
P001,2024-11-11,Present,11-11-2024,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P001,2024-11-12,Present,2024-11-12,
P001,2024-11-13,Present,2024-11-13,
P001,2024-11-14,Present,2024-11-14,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": true}"
P001,2024-11-15,Present,2024-11-15,
P001,2024-11-18,Present,2024-11-18,
P001,2024-11-19,Present,19/11/2024,
P001,2024-11-20,Present,20/11/2024,
P001,2024-11-21,P,21/11/2024,
P001,2024-11-22,present,2024-11-22,
P001,2024-11-25,Present,2024-11-25,
P001,2024-11-26,Authorised Absence,2024-11-26,
P001,2024-11-27,Present,2024-11-27,
P001,2024-11-28,Present,28/11/2024,
P001,2024-11-29,Present,2024-11-29,
P001,2024-12-02,Present,02/12/2024,
P001,2024-12-03,Present,2024-12-03,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-12-04,Present,2024-12-04,"{""am"": ""Present"", ""pm"": ""Present"", ""late_arrival"": false}"
P001,2024-12-05,Present,05/12/2024,
P001,2024-12-06,Present,2024-12-06,
